xuyijia4,1,1,1,8,3,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,23
chenc245,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shihjere,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
sewardm1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chongal3,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yangyux7,1,1,1,7,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,30
cheriya7,1,1,1,7,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,31
wangy808,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
kachura3,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
abadysin,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,30
losteffy,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
houxinyi,1,1,1,6,3,3,2,1,1,1,1,1,1,1,1,1,0,1,1,1,29
wuyucan,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
ferre246,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,0,0,0,1,0,27
jianpei,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
wangme88,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,0,1,0,0,29
yusabri3,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shahri24,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
luwenji1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shiyong,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chenj368,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
hsuwils1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhouyiw2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
huang603,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
leibmany,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
schnell2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
chappusr,1,1,1,1,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,11
rafiiary,1,1,1,8,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,1,30
masonla1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yulizhi,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
haqfarz1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
lapinand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhengbo8,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhuyuha4,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chenha81,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
luzexia,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
wangt172,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhan5336,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
goelarna,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
ruantian,1,1,1,8,3,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,22
fangyun2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
kapadi45,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhuyiha5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
sunsiche,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
rosenb89,1,0,0,8,0,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,27
harrisp5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
hamzamaf,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
cannalex,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
caimengx,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
wangc273,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
truon146,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
broadbr3,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
cuiwei6,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhouha27,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
dubob,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chinsenj,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
hejingne,1,1,1,8,3,3,0,1,1,1,0,1,1,1,0,1,1,1,1,1,28
shenlin5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
chenzey4,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
memonas1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
kongjen6,1,1,1,8,3,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,30
khanmoza,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhaoch27,1,1,1,8,3,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,22
sudarsa5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shemeshr,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
kanghose,1,1,1,8,3,2,2,1,0,1,1,1,1,1,0,1,1,1,1,1,29
barrieri,1,1,1,8,3,3,0,1,1,1,0,0,0,1,1,1,1,1,1,1,27
iplauren,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yefengka,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yuyuexia,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
cheniyu,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zhouyuq6,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yangzhey,1,1,1,7,3,3,2,1,1,0,1,1,1,1,0,1,1,1,1,0,28
wangw214,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
lizhouy1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
tortori5,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chinhou,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
wangan28,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
hungtrum,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shangj10,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
shenyuc1,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
maokathe,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
tongyuch,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
yangale6,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
sunyixi4,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
nijingwe,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
zouzhuoz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haighcam,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
wangfein,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
example,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
wangdi35,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
linangus,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
wangc292,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
lichihen,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
nasithar,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
lugeorg2,1,1,1,8,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,32
chushaok,1,1,1,8,3,3,2,1,1,1,1,1,1,1,0,1,1,1,1,1,31
